Passage_ID,passage,original_id
565747_17_8,"We, the jury, find the defendant, Brock Allen Turner,
guilty of a felony, a violation of California Penal Code section 220 (a) (1),
assault with intent to commit a rape of an intoxicated or unconscious
person. Dated March 30th, 2016, by foreperson, Juror No. 5. The air is broken by the wail of someone being stabbed. My head snaps
to the right and I watch Brock’s mother’s pointed feet extend straight up
into the air and come slamming back into the ground. She stomps, yelling
into this room stricken by silence. His father has thrown his body over her
as if shielding her from a showering of arrows. Suddenly, I feel vulnerable,
my face open and unprotected. What do I look like, should I be reacting? Her wailing tries to insert itself into me, but I need to drown out the sound,
to focus. I turn back to the front of the room, muting the cries.",Know_My_Name_17_8
37865_34_55,"“The
only survivor of a dying planet. I have come to rob all the women ... rape all
the men ... and learn to do the Peppermint Twist!”
It began to do a mad shuck-and-jive, balloons in one hand, severed,
bleeding leg in the other. The clown costume writhed and flapped, but
Beverly felt no wind. Her legs tangled in each other and she spilled to the
pavement, throwing out her palms to take up the shock, which went all the

way to her shoulders. The woman pushing the grocery cart paused and
looked back doubtfully, then hurried on a little faster. The clown came toward her again, casting the severed leg aside. It landed
on the lawn with an indescribable thud. Beverly only lay sprawled on the
pavement for a moment, sure somewhere inside that she must wake soon,
this couldn’t be real, had to be a dream—
She realized that wasn’t true a moment before the clown’s crooked, longclawed fingers touched her. It was real; it could kill her. As it had killed the
children.",It_34_55
353113_13_4,"Now, in my office, I can see a stand of bamboo through the open door. My anger with Stevland so long ago might have been little more than
displaced anger over my job as commissioner. I could not quite bear to
blame Sylvia, my great-grandmother. When I was just a teenager, she called
me to her deathbed, her body swelling as her kidneys failed her. She gave
me a knife that had been made on Earth with a blade almost as long as my
hand. I had been impressed by the steel itself, shiny and wonderful, but then
she told me she had killed Vera with it. She described the days leading up to
the revolt, a long story, and she got angry remembering it. I couldn’t
imagine the things she told me about, beatings and killings and rape. No
one had ever told us about it. “I did not, not, not want to die there,” she said, “did not want to lead a
hard, ugly life under the dictates of lying murderous Parents and finally be
carried in rags through desolate fields and be left to feed the greedy, stupid
snow vine.” The Parents had betrayed the Children.",Semiosis_13_4
223085_56_30,"Althea
turned aside from that searing knowledge. Kennit had raped her. Etta knew,
and the admission was a stake in the heart of her memories of him. Neither
woman could escape what he had done to them. Althea looked away, only to have her eyes fall on Kyle. Still muttering
and swinging feeble fists in a display of anger, he gestured wildly as he
shuffled away from them. His left foot turned out awkwardly. Amber spoke quietly. ‘At night, in our room, you used to say you longed
to meet him just one more time. Just so you could confront him with what he
did.’
‘He stole my ship from me.",Liveship_Ship_of_Destiny_56_30
339707_3_75,"Our
car was parked at the base of the rise, just past a scraggle of bushes. Nobody would come up the road that way, anyway. There was a beach
farther down that you could get to easier by a road along the lakeshore,
around the other side. Of course the rapist—except I didn’t use that word: I
used attacker—the attacker had bet on this lonely place remaining deserted. Which meant he had to have known something about the reservation, and
meant more planning. People drank down on that beach at night, but to get
there from the round house you had to cross a barbed-wire fence and then
bushwhack. The attack had happened approximately where I was standing. He’d left her here, to get a new book of matches. I blocked out the thought
of my mother’s terror and her scramble for the car. I imagined how far away
the attacker had to have gone to fetch the matches, in order not to run back
in time to catch her.",The_Round_House_3_75
565747_6_67,"How did other victims manage this back-and-forth
between worlds, the rotation of selves? You can’t fawn over your
coworker’s photos of Maui by morning, slip away to battle your rapist by
noon. It required two entirely different modes of being; different worries,
rules, bosses, emotions. If this continued, I wouldn’t be able to go and come
back, but I was not ready to quit my job and give up my life yet. I prayed he
would give up first. Every time I received a call from an unfamiliar number, my head filled
with heat. I was wary of investigators, tracking me, listening. Months
passed. I had not told a single friend. Every email about the case brought on
a surge of stress; it was not distracting, it was mindwiping, I’d forget what I
was doing, my mood sinking the rest of the day.",Know_My_Name_6_67
565747_16_81,". the fact the defendant latches
on to that to say Tiffany said Chanel was fine does not absolve the

defendant . . . the obligation is on him before he inserts his finger in
someone’s vagina to make sure they’re capable of consenting, not that their
sister thinks that they’re fine. She swung the spotlight back to him, where it
belonged. She pointed out that all he had to do to complete the rape was
unzip his pants. I’d never put this together; the only thing between my open
legs and his erection were the tiny golden teeth of a zipper. No woman, no woman wants to have debris in their vagina when they
met a guy five minutes before. No woman.",Know_My_Name_16_81
565747_14_13,". which made me sad because comments like that did not make her

daughter any safer, just ensured that if the daughter was raped, she’d likely
have one less person to go to. My friend Athena had just returned home to Palo Alto. We have been
friends since sixth grade—she is Vietnamese American. After college she’d
gone to work on a lettuce farm in Hawaii. I picked her up from the airport
and she told me how it felt to sleep in a tent, to hitchhike to the ocean, to
see clarity of the stars on the Big Island. We went over to my house. When
the conversation floated off her island back to my little room, she asked me
what I had been up to. There was always a moment, right before telling someone, that felt like I
was peering over the edge of a cliff into water. I was taking a few final
breaths, swinging my arms, telling myself I could do it.",Know_My_Name_14_13
37865_30_59,"Not ninety percent, not even ninetyfive percent. One hundred was all that would do it. “In December of last year, an eight-year-old boy named Steven Johnson
was found dead in Memorial Park. Like Adrian Mellon, he had been badly
mutilated just before or just after his death, but he looked as if he could
have died of just plain fright.”
“Sexually assaulted?” Eddie asked. “No. Just plain mutilated.”
“How many in all?” Eddie asked, not looking as if he really wanted to
know. “It’s bad,” Mike said. “How many?” Bill repeated. “Nine. So far.”
“It can’t be!” Beverly cried. “I would have read about it in the paper ...
seen it on the news!",It_30_59
565747_2_4,"OFFICER: No, but the area behind. He said, Some people passing by saw you were there, and they’re like,
“Wait, that doesn’t look right.” And then they stopped, um, they saw
someone . . . and then another person came by, saw you. And called, called
us . . . Um, naturally in the beginning, um, we assume a possible rape. I didn’t understand.",Know_My_Name_2_4
917330_29_119,"He paused, trying to come up with a logical explanation. “Sometime along the way Harriet discovered that Gottfried had not only committed incest, but he was also a serial
sex murderer,” he said. “We don’t know when she found out about the murders. It could have been right before Gottfried drowned. It might
also have been after he drowned, if he had a diary or had saved press cuttings about them. Something put her on his
track.”
“But that wasn’t what she was threatening to tell Henrik,” Blomkvist said. “It was Martin,” Salander said. “Her father was dead, but Martin was going on abusing her.”
“Exactly.”
“But it was a year before she took any action.”
“What would you do if you found out that your father was a murderer who had been raping your brother?”
“I’d kill the fucker,” Salander said in such a sober tone that Blomkvist believed her. He remembered her face as she
was attacking Martin Vanger. He smiled joylessly.",The_Girl_With_The_Dragon_Tattoo_29_119
630140_26_8,"And they would all be rapers. They would rape her. Sooner or later they would find her and rape her. This morning, before first light, she had crept up to the attic, where her
father’s few possessions were stored in cardboard boxes. Her father had
been a merchant seaman. He had deserted Irma’s mother in the late sixties. Irma’s mother had told Irma all about it. She had been perfectly frank. Her
father had been a beast who got drunk and then wanted to rape her. They all
did.",The_Stand_26_8
951952_15_12,"By that time she was working for a women’s collective, the
publishing division. They put out books on birth control and rape and things
like that, though there wasn’t as much demand for those things as there used
to be. I’ll come over, she said. She must have been able to tell from my voice
that this was what I wanted. She got there after some time. So, she said. She threw off her jacket,
sprawled into the oversized chair. Tell me. First we’ll have a drink. She got up and went to the kitchen and poured us a couple of Scotches,
and came back and sat down and I tried to tell her what had happened to me.",the_handmaids_tale_15_12
565747_22_15,"I had them
handcuffing him, photographing me, recording witness accounts, jotting
down every detail of my body from the thin chain wrapped around my neck
to the laces of my shoes, my clothes collected, his clothes collected. I
pressed charges within twenty-four hours of the assault and here I was three
years later reading the appellate attorney’s statements about how I was
clearly in front of the dumpster, not in any way “behind” it. How it was
“merely exterior massaging” of my “genital opening,” how we were
enamored young people expressing their sexual urges. When you say go to
the police what do you envision? I was grateful for my team. But the police
will move on to other cases while the victim is left in the agonizing,

protracted judicial process, where she will be made to question, and then
forget, who she is. You were just physically attacked? Here’s some
information on how you can enter a multiyear process of verbal abuse. Often it seems easier to suffer rape alone, than face the dismembering that
comes with seeking support. When a victim does go for help, she is seen as attacking the assailant.",Know_My_Name_22_15
565747_24_71,"But alcohol was not the one
who stripped me, fingered me, had my head dragging against the ground,
with me almost fully naked. Having too much to drink was an amateur
mistake that I admit to, but it is not criminal. Everyone in this room has had
a night where they have regretted drinking too much, or knows someone
close to them who has had a night where they have regretted drinking too

much. Regretting drinking is not the same as regretting sexual assault. We
were both drunk, the difference is I did not take off your pants and
underwear, touch you inappropriately, and run away. That’s the difference. You said, If I wanted to get to know her, I should have asked for her
number, rather than asking her to go back to my room. I’m not mad because you didn’t ask for my number. Even if you did know
me, I would not want to be in this situation. My own boyfriend knows me,
but if he asked to finger me behind a dumpster, I would slap him.",Know_My_Name_24_71
340849_5_3,"She had been found guilty of voluntary manslaughter. They believed that John
Adams had done something to her, though they were not quite sure what, and
they did not believe that he had raped her, then or ever. But he had hurt her
possibly, and two of the women on the jury had been insistent that even good
men sometimes had dark secrets. There had been enough doubt in their minds for them to shy away from
murder one and the death penalty. But the next step down from there was
voluntary manslaughter, and that was how they had charged her. They believed, as the judge had explained in his instructions to them, that
Grace had believed falsely, and therein lay the key, that she was justified in
killing her father. Because of his glowing reputation in the community, they had
been unable to accept that her father had been truly harming her, but they did
believe that Grace had believed that, though incorrectly. Voluntary manslaughter
carried a sentence of up to twenty years, at the judge's discretion. And in the end, because of her extreme youth, and the fact that Grace herself
had believed it to be both a crime of passion and of justifiable defense, the judge
gave her two years in prison, and two years probation. Considering the
possibilities, it was something of a gift, but it sounded like a lifetime to Grace as
she listened to the words, and tried to force herself to understand it.",malice_5_3
340849_6_19,"She felt the same
way now. Would she be raped by them? Or just used, as she had been by her
father? And how would she ever fight them? If there were ten or twelve of them,

or even two, what chance would she have? Her heart quailed as she thought of it,
and the promises she had made to Molly and
David that she would be strong and survive it. She'd do everything she could,
but what if it was just too unbearable ...
hat if ...
he stared hopelessly at the floor as they left the highway and drove up to the
gates of Dwight Correctional Center. The other inmates were hooting and jeering
and stamping their feet, and Grace just sat there, staring straight ahead, trying
not to think of what Angela had told her. ""Okay, baby. We're home."" Angela grinned at her.",malice_6_19
565747_4_45,"I returned to the article. Alleged victim said she “blacked out” after drinking two whiskey shots,
two vodka shots, and stepping outside the frat house with her sister. How’d
they know exactly what I’d had to drink? I’d never spoken to any reporters. Then I remembered myself at the hospital, sitting in that plastic chair, wet
hair soaking my cotton neckline, chest caved to conceal that I wasn’t
wearing a bra, my insides still tender from the exam. Everything I had
recollected, details I’d fumbled to provide into that little black recorder, had
been typed into transcripts. Reporters must have sifted through them, using
my words to construct their own narrative for the public to pore over. I felt
the walls of my life being torn down, the whole world crawling in. If words
spoken softly at a rape clinic were projected over a megaphone, where was
it safe for me to speak? I scrolled to the end of an article and saw, the woman is recovering at a
hospital.",Know_My_Name_4_45
565747_23_32,"I had created the wrong
list. Thursday, talks with Stanford. Friday, rapist out of jail. A panic attack,
a failed meeting, guilt from money, the politics of negotiating, all repressed
in my gut. I didn’t know how to say any of this. I’ve also been experiencing
anxiety. The doctor asked, Have you tried therapy? I nodded. Okay, well
maybe that’s something we can explore next time, but anxiety is common, so
let’s give it a few months and . .",Know_My_Name_23_32
565747_21_38,". This is completely different from a woman
getting kidnapped and raped as she is walking to her car in a parking lot. That is a rapist. These are not rapists. These are idiot boys and girls having
too much to drink and not being aware of their surroundings and having
clouded judgment. When my statement emerged, her letter was uncovered. That summer
she was scheduled to tour with her three-woman band, but venues canceled
one after the other, announcing they did not tolerate rape culture. The band
was dropped from its label, the tour dissolved, and she issued a public
apology. Even more disturbing was that out of thirty-nine letters written,
this was the single one the judge had quoted at the sentencing. Her
misguidance was expected, the judge’s was not.",Know_My_Name_21_38
565747_7_7,"My dad peeked in to see how I was
doing and I said, I’m so happy. Before I left, there was one person I wanted to tell. Claire, a close friend
of mine, with freckled skin and a tiny nose ring, was about to move to
France to work as an au pair for a year. We had spent her last weeks sitting
in her car, eating ice cream and listening to French cassette tapes. I was
always waiting for the right time. But maybe there would never be a right
time; all I knew was that I was running out of it and I would have to tell her
now. She had gone through something similar when she was only eighteen,
called the police, completed the rape kit, but even after she did everything
victims are instructed to do, she was informed it was not enough to more
forward. In my room I told her. She immediately leaned over and put her
arms around me, and strangely I did not have to say much at all. She
understood.",Know_My_Name_7_7
340849_13_23,"She felt
even worse than she had at the loft. It was as though the effect of whatever he had given her had heightened. ""He must have spiked it. Did you feel weird while you were there?""

""Oh did I ..."" Grace moaned. ""It was so strange."" She looked up at her friend and
started to cry. ""I couldn't tell what was a dream ....
and what was real ... he was kissing me and doing things ...
and then I was asleep, and when I woke up he was naked ... but he said nothing
happened.""
""Sonofabitch, he raped you!"" Marjorie wanted to kill him, on behalf of
Grace, and their entire sex. She had never liked him. She hated bastards like that,
particularly the ones who took advantage of kids or greenhorns. It was such easy
sport, and so damn vicious. But Grace just looked confused as she went on.",malice_13_23
563935_7_31,"That’s why
Guerrero Iraola invited him to lunch, to rub his face in it. He hears one of
the hunters, who’s sitting close by, whisper to another that the stunning
blonde was in fact a young virgin of fourteen who needed to be
tenderized and that Guerrero Iraola destroyed her in bed, raping her for
hours. The man says he was there and that the child was half-dead when
they took her away to be slaughtered. It occurs to him that in this case, the flesh trade is literal, and he’s
disgusted. While he thinks about this, he tries to eat the candied
vegetables, avoiding the fingers that have been cut into small pieces. He’s sitting next to Urlet, and the man looks at him, and says into his
ear, “You have to respect what’s being served, cavaler. Every dish
contains death. Think of it as a sacrifice that some have made for others.”
Urlet’s nails graze his hand again and he shudders. He thinks he can
hear the scratching under the man’s skin, the contained wail, the presence
that wants to get out. He swallows the “fresh fingers” because he wants
this to be over with, to leave as quickly as possible.",Tender_is_the_Flesh_7_31
565747_20_9,"My Favorite Murder podcast covered it. Glamour would
later honor Emily Doe as one of the 2016 Women of the Year. The
statement was translated into French, German, Portuguese, Spanish, and
Japanese. An undergraduate in Korea, named Youngki Kim, asked for
permission to translate it into Korean. The statement was performed in sign
language, in a video produced by Crystine, who was unaware we went to
high school together. A feminist group in China posted photos of women
holding signs: Nobody earns the right to rape. It is still rape when he is a
good swimmer. I received emails from around the world. Though very much
across the Pacific, I am so very near to her and her pain and so very
grateful for all those who did come to her aid. Another note: You have
reached out to someone in a sleepy town here in India with your agony,
your perseverance, your will.",Know_My_Name_20_9
565747_24_19,"Consider the possibility that there have been no errors in the
game. Just consider it. Consider that there is not an error, and everything
that’s come down on your plate is the way it is and here we are. I don’t
believe it was my fate to be raped. But I do believe that here we are is all
we have. For a long time, it was too painful to be here. My mind preferred
to be dissociated. I used to believe the goal was forgetting. It took me a long time to learn healing is not about advancing, it is about
returning repeatedly to forage something. Writing this book allowed me to
go back to that place.",Know_My_Name_24_19
917330_14_25,"Because Morell, like Vanger, had spent thirty-six years pondering the mystery, Blomkvist had expected a certain
resistance—he was the new man who had come in and started tramping around in the thicket where Morell had gone
astray. But there was not a hint of hostility. Morell methodically filled his pipe and lit it before he replied. “Well yes, obviously I had my own ideas. But they’re so vague and fleeting that I can hardly put them into words.”
“What do you think happened?”
“I think Harriet was murdered. Henrik and I agree on that. It’s the only reasonable explanation. But we never
discovered what the motive might have been. I think she was murdered for a very specific reason—it wasn’t some act
of madness or a rape or anything like that. If we had known the motive, we’d have known who killed her.” Morell
stopped to think for a moment.",The_Girl_With_The_Dragon_Tattoo_14_25
340849_20_7,"""Of course not. I couldn't do that to my mother. Or to him. I thought I owed him
total silence. In my own way, I guess, I was as crazy as he was. But that's what
happens to children, and women too, in situations like that. They never tell. They'll die first. They called in a psychiatrist to talk to me, when they took me to
jail that night, and she sent me to the hospital, and they found out that he'd raped
me, or someone had had intercourse' with me, according to the D. A.""
""Did you ever tell them the truth?""
""Not for a while.",malice_20_7
565747_24_72,"No girl
wants to be in this situation. Nobody. I don’t care if you know their phone
number or not. You said, I stupidly thought it was okay for me to do what everyone
around me was doing, which was drinking. I was wrong. Again, you were not wrong for drinking. Everyone around you was not
sexually assaulting me. You were wrong for doing what nobody else was
doing, which was pushing your erect dick in your pants against my naked,
defenseless body concealed in a dark area, where partygoers could no
longer see or protect me, and my own sister could not find me. Sipping
fireball is not your crime. Peeling off and discarding my underwear like a
candy wrapper to insert your finger into my body, is where you went wrong.",Know_My_Name_24_72
339707_12_19,"She turned to my father, staring out of the
covers as out of a cave. Her eyes were black, black in her gray face. She
spoke in a low, harsh voice that grew large between my ears. I was raped, Bazil. My father did not move, did not take her hand or comfort her now in any
way. He seemed frozen. There is no evidence of what he did. None. My mother’s voice was a
croak. My father bent near.",The_Round_House_12_19
340849_4_113,"And the whole story she'd
told the police had long since come out in the papers. It was everything she
hadn't wanted. She felt she had betrayed herself, and her parents, but David had
convinced her it was her only hope to stay out of prison or worse, the death
penalty. And even that hadn't worked. She was resigning herself to a life in
prison by then, and she still wondered if she would get the death sentence in the
end. It was possible, even David admitted, though he didn't like to. It would be
up to the jury. He was still sure he could convince jury that she killed her father
to stop him from raping her, or even killing her. She was young, she was beautiful, she was vulnerable, and she was telling the
truth, which had an undeniable ring to it. To David and Molly, there was
absolutely no doubt about her story.",malice_4_113
565747_6_18,"He was a kid, not a criminal. Accomplished, not dangerous. He was the one who lost everything. I was
just the nobody it happened to. The rage that had crackled and roared in my chest all morning had been
reduced to a few dying embers in my throat. I closed my computer, laid
back. I wondered how in an instant my identity had been reduced to the
blacked-out and raped woman. This person who could never be a role
model, at best a cautionary tale. If anyone ever found out, I understood I’d
be publicly disgraced, permanently branded. This part of me had to be
severed.",Know_My_Name_6_18
340849_4_119,"He explained in
graphic detail the extent of the damage when he'd seen her. ""Could you say for certain that Miss Adams had been raped?"" the prosecutor
asked on cross-examination. ""Not with absolute certainty, one never can. One has to rely to some extent on
the reports of the victim. But one could definitely say that there had been
abusive sex over a long period of time. There were old scars of tears and damage
that had been caused, and of course extensive new ones.""
""Could that kind of abuse' occur in normal sex, or sex of an unduly energetic,
or even somewhat degenerate nature? In other words, if Miss Adams was
masochistic in any way, or liked to be punished' by any of her supposedly
various boyfriends, would it lead to the same kind of results?"" he asked
pointedly, with flagrant disregard for the fact that everyone who knew her said
she had never gone out with anyone, or had a boyfriend. ""Yes, I guess if she liked it rough, you could say that the same damage might
occur ... it would have to be very rough though,"" the resident said thoughtfully,
and the prosecutor smiled evilly at the jury. ""I guess that's how some people like it.""
David objected constantly, and he did a heroic job, but it was an uphill
struggle to battle their claim of premeditation. He put Molly on the witness
stand, and finally, Grace herself, and she was deeply moving.",malice_4_119
466796_16_36,"“We will not hurt you. I am going to free you.”
She looked at us in horror. The gods knew what she thought I was saying. She was an Anatolian farm-girl, with no reason to have ever heard Greek
before. I stepped forward to put a hand on her arm, to reassure. She flinched
as if expecting a blow. I saw the fear in her eyes, of rape and worse. I could not bear it. There was only one thing I could think of. I turned to
Achilles and seized the front of his tunic.",The_Song_of_Achilles_16_36
340849_14_2,"""I think that's what happened today. I think maybe he got overanxious, and
wanted to make sure I'd play, so he put something in my drink. ... we'd been
going out for a month, and nothing had happened ... I was ... I wanted to be sure
... I was scared ... he said I. ... he said I got really scared when he tried ...""
""I'm sure you did. Drugging you is not the answer. You need time, and therapy,
and the right man. This one certainly doesn't sound like he is,"" she said calmly. ""I figured that out,"" Grace sighed, but she was relieved to know that he hadn't
raped her. That would have been adding insult to injury. The doctor offered her the name of a therapist, and Grace took it from her, but
she didn't intend to call him.",malice_14_2
917330_29_56,"I was the one who strangled her.”
He’s bragging. Good Lord, what a revoltingly sick family. “You can’t have any notion of how demented this is.”
“You are a very ordinary little person, Mikael. You would not be able to understand the godlike feeling of having
absolute control over someone’s life and death.”
“You enjoy torturing and killing women, Martin.”
“I don’t think so really. If I do an intellectual analysis of my condition, I’m more of a serial rapist than a serial
murderer. In fact, most of all I’m a serial kidnapper. The killing is a natural consequence, so to speak, because I have
to hide my crime. “Of course my actions aren’t socially acceptable, but my crime is first and foremost a crime against the conventions
of society. Death doesn’t come until the end of my guests’ visits here, after I’ve grown weary of them. It’s always so
fascinating to see their disappointment.”
“Disappointment?”
“Exactly.",The_Girl_With_The_Dragon_Tattoo_29_56
565747_24_57,"That helplessness
was traumatizing. Instead of taking time to heal, I was taking time to recall the night in
excruciating detail, in order to prepare for the attorney’s questions that
would be invasive, aggressive, and designed to steer me off course, to
contradict myself, my sister, phrased in ways to manipulate my answers. Instead of his attorney saying, Did you notice any abrasions? He said, You
didn’t notice any abrasions, right? This was a game of strategy, as if I could
be tricked out of my own worth. The sexual assault had been so clear, but
instead, here I was at the trial, answering questions like:
How old are you? How much do you weigh? What did you eat that day? Well what did you have for dinner? Who made dinner?",Know_My_Name_24_57
565747_18_38,". He’d
written about the way I became verbally hostile, upset, abrasive, whenever
the case was brought up. I remembered the shattered phone, the screaming
matches. I remembered halfway through a movie, a rape unfolding on
screen, yelling to turn it off, turn it off, where’s the damn remote, getting up
to leave, slamming the door. He wrote about my inability to sleep by
myself, the physical insecurity, keeping the lights on. He noticed times I left
the apartment to wander aimlessly around the city, needing to be alone. How the process had been more invasive, public, and longer than we
anticipated. Chanel has allowed me, in confidence and only due to our
closeness, occasional glimpses of the pain that comes with this public
violation of her body. . .",Know_My_Name_18_38
951952_10_56,"I liked watching these people when they were happy, not
when they were miserable, starving, emaciated, straining themselves to death
over some simple thing, the digging of a well, the irrigation of land, problems
the civilized nations had long ago solved. I thought someone should just give
them the technology and let them get on with it. Aunt Lydia didn’t show these kinds of movies. Sometimes the movie she showed would be an old porno film from the
seventies or eighties. Women kneeling, sucking penises or guns, women tied
up or chained or with dog collars around their necks, women hanging from
trees, or upside-down, naked, with their legs held apart, women being raped,
beaten up, killed. Once we had to watch a woman being slowly cut into
pieces, her fingers and breasts snipped off with garden shears, her stomach
slit open and her intestines pulled out. Consider the alternatives, said Aunt Lydia. You see what things used to be
like? That was what they thought of women, then. Her voice trembled with
indignation.",the_handmaids_tale_10_56
